movieId,score
1,4
2,6
3,2
4,3
5,1
6,2
7,8
8,1
9,5
10,5
11,6
12,6
13,6
14,5
15,3
16,7
17,8
18,5
19,8
20,6
21,6
22,6
23,6
24,1
25,3
26,4
27,2
28,7
29,9
30,2
31,9
32,1
33,2
34,8
35,7
36,7
37,6
38,9
39,7
40,3
41,2
42,8
43,4
44,8
45,1
46,4
47,2
48,3
49,2
50,4
51,4
52,2
53,2
54,8
55,7
56,7
57,5
58,9
59,6
60,1
61,2
62,9
63,1
64,7
65,7
66,2
67,1
68,5
69,7
70,6
71,7
72,1
73,2
74,8
75,8
76,1
77,8
78,6
79,4
80,6
81,6
82,9
83,6
84,1
85,7
86,9
87,4
88,2
89,8
90,7
92,7
93,4
94,1
95,6
96,8
97,8
98,9
99,4
100,1
101,6
102,2
103,7
104,5
105,3
106,8
107,7
108,9
109,7
110,2
111,7
112,9
113,5
114,8
115,9
116,7
117,3
118,3
119,9
120,7
121,7
122,7
123,7
124,7
125,5
126,5
127,9
128,9
129,1
130,5
131,3
132,6
133,4
134,9
135,7
136,5
137,2
138,6
139,3
140,9
141,2
142,5
143,3
144,7
145,8
146,1
147,8
148,9
149,5
150,9
151,8
152,5
153,3
154,8
155,8
156,3
157,8
158,3
159,6
160,7
161,8
162,1
163,5
164,4
165,6
166,5
167,3
168,8
169,8
170,9
171,6
172,5
173,9
174,2
175,5
176,2
177,9
178,9
179,5
180,5
181,3
182,8
183,4
184,4
185,2
186,8
187,4
188,2
189,8
190,1
191,3
192,9
193,9
194,7
195,8
196,9
197,8
198,4
199,2
200,2
201,3
202,9
203,4
204,6
205,8
206,1
207,9
208,1
209,6
210,8
211,4
212,8
213,7
214,9
215,3
216,7
217,1
218,5
219,9
220,1
222,9
223,4
224,4
225,4
226,7
227,8
228,9
229,8
230,2
231,7
232,2
233,1
234,2
235,5
236,2
237,6
238,7
239,9
240,5
241,5
242,1
243,5
244,3
245,7
246,1
247,6
248,7
249,5
250,7
251,1
252,3
253,9
